問題ID,問題文,選択肢A,選択肢B,選択肢C,選択肢D,選択肢E,正解,解説,間違えやすいポイント
Q001,心筋梗塞の初期対応として最も適切なものはどれか。,アスピリン300mg内服,ヘパリン静注,ワルファリン内服,ジピリダモール内服,チクロピジン内服,A,急性心筋梗塞の初期対応では抗血小板薬としてアスピリン300mgの投与が推奨される。血小板凝集を抑制し、血栓の進展を防ぐ。,ヘパリンは抗凝固薬であり初期対応としては推奨されない。ワルファリンは作用発現が遅く急性期には不適切。
Q002,肺血栓塞栓症の診断に最も有用な検査はどれか。,胸部X線,心電図,造影CT,D-ダイマー,動脈血ガス,C,肺血栓塞栓症の確定診断には造影CT（特にCTPA: CT肺動脈造影）が最も有用。肺動脈内の血栓を直接描出できる。,D-ダイマーは除外診断に有用だが、陽性でも特異度が低い。心電図のS1Q3T3パターンは感度が低い。
Q003,慢性心不全患者に禁忌の薬剤はどれか。,ACE阻害薬,β遮断薬,ループ利尿薬,NSAIDs,スピロノラクトン,D,NSAIDsは腎血流量を低下させ、体液貯留を引き起こすため慢性心不全では禁忌。また利尿薬の効果を減弱させる。,β遮断薬は過去には禁忌とされたが、現在は慢性心不全の標準治療。急性増悪時には注意が必要。
Q004,COPD急性増悪時の酸素投与目標SpO2はどれか。,88-92%,93-95%,96-98%,99-100%,85%以下,A,COPD患者では高濃度酸素投与によりCO2ナルコーシスのリスクがあるため、SpO2 88-92%を目標とする。,健常者の目標SpO2（96%以上）を適用すると高CO2血症を招く危険がある。Ⅱ型呼吸不全の理解が重要。
Q005,気管支喘息の長期管理において第一選択となる薬剤はどれか。,吸入ステロイド,長時間作用性β2刺激薬,ロイコトリエン受容体拮抗薬,テオフィリン,短時間作用性β2刺激薬,A,気管支喘息の長期管理では気道炎症を抑制する吸入ステロイド（ICS）が第一選択。コントロール不良時にLABAを追加する。,短時間作用性β2刺激薬は発作時の頓用であり長期管理薬ではない。LABAは単独使用せず必ずICSと併用する。
Q006,上部消化管出血の緊急内視鏡で最も優先すべき所見はどれか。,胃潰瘍底の白苔,露出血管を伴う潰瘍,Forrest Ib（にじみ出る出血）,Forrest IIa（露出血管）,Forrest III（出血痕のみ）,B,露出血管を伴う潰瘍（Forrest IIa）は再出血リスクが高く、内視鏡的止血術の適応。動脈性の噴出性出血（Forrest Ia）があればさらに緊急度が高い。,Forrest分類を正確に理解することが重要。IIa以上は内視鏡的治療の適応となる。
Q007,肝硬変患者に出現する特徴的な身体所見はどれか。,手掌紅斑,チアノーゼ,ばち指,黄色腫,皮下気腫,A,肝硬変では手掌紅斑、クモ状血管腫、女性化乳房などが特徴的。エストロゲン代謝障害により末梢血管が拡張する。,ばち指は肺疾患や心疾患で見られる。黄色腫は脂質異常症で見られる。
Q008,潰瘍性大腸炎の重症度判定に用いられる指標でないものはどれか。,排便回数,血便の程度,発熱,CRP値,体重減少,E,潰瘍性大腸炎の重症度判定には、排便回数、血便、発熱、頻脈、貧血、赤沈などが用いられる。体重減少は活動性の指標だが重症度判定の主要項目ではない。,重症度分類（軽症・中等症・重症）の基準を正確に覚えることが重要。6回以上の血便は重症の基準。
Q009,1型糖尿病の診断に有用な検査はどれか。,HbA1c,抗GAD抗体,インスリン抵抗性指数,尿中Cペプチド,経口糖負荷試験,B,1型糖尿病では膵β細胞の自己免疫性破壊により、抗GAD抗体や抗IA-2抗体などの自己抗体が陽性となる。,2型糖尿病ではインスリン抵抗性が主体。Cペプチドは内因性インスリン分泌能の評価に使用。
Q010,甲状腺機能亢進症の治療薬として不適切なものはどれか。,チアマゾール,プロピルチオウラシル,ヨウ化カリウム,プレドニゾロン,レボチロキシン,E,甲状腺機能亢進症の治療には抗甲状腺薬（チアマゾール、プロピルチオウラシル）やヨウ化カリウムを使用。レボチロキシンは甲状腺ホルモン補充薬であり機能亢進症には禁忌。,レボチロキシンは甲状腺機能低下症の治療薬。機能亢進症と低下症の治療薬を混同しないこと。
Q011,クッシング症候群の診断に最も有用な検査はどれか。,早朝コルチゾール,デキサメタゾン抑制試験,ACTH負荷試験,尿中17-KS,血中アルドステロン,B,クッシング症候群ではコルチゾールの自律分泌があり、デキサメタゾン投与後もコルチゾールが抑制されない（デキサメタゾン抑制試験陽性）。,少量デキサメタゾン抑制試験（1mg）でスクリーニング、大量試験（8mg）で病因鑑別を行う。
Q012,急性腎障害（AKI）の原因分類で腎性に該当するものはどれか。,脱水,尿管結石,急性尿細管壊死,前立腺肥大,心不全,C,AKIは腎前性（血流低下）、腎性（腎実質障害）、腎後性（尿路閉塞）に分類される。急性尿細管壊死は腎性AKIの代表例。,脱水と心不全は腎前性、尿管結石と前立腺肥大は腎後性。尿中Na濃度やFENaで鑑別可能。
Q013,慢性腎臓病（CKD）のステージ分類で最も重要な指標はどれか。,血清クレアチニン,eGFR,尿蛋白定量,血清尿素窒素,尿潜血,B,CKDのステージはeGFR（推算糸球体濾過量）に基づいて分類される。G1〜G5の5段階で、G3a（45未満）からCKDと診断。,尿蛋白はA1〜A3で分類し、eGFRと組み合わせてリスク評価を行う。両方の評価が重要。
Q014,ネフローゼ症候群の診断基準に含まれないものはどれか。,蛋白尿3.5g/日以上,低アルブミン血症,浮腫,高コレステロール血症,血尿,E,ネフローゼ症候群の診断基準は、①蛋白尿3.5g/日以上、②低アルブミン血症（3.0g/dL以下）の2つ。浮腫と高脂血症は随伴症状。血尿は診断基準に含まれない。,血尿があれば腎炎症候群を疑う。ネフローゼ症候群と腎炎症候群の違いを理解すること。
Q015,脳梗塞の病型分類でないものはどれか。,アテローム血栓性脳梗塞,心原性脳塞栓症,ラクナ梗塞,血栓性静脈洞閉塞症,分類不能,D,脳梗塞はNINDS分類で、アテローム血栓性、心原性脳塞栓症、ラクナ梗塞、その他、分類不能の5つに分類される。血栓性静脈洞閉塞症は別の疾患概念。,各病型の発症様式、画像所見、治療法の違いを理解することが重要。
Q016,パーキンソン病の四大徴候に含まれないものはどれか。,安静時振戦,筋強剛,無動・寡動,姿勢反射障害,認知機能障害,E,パーキンソン病の四大徴候は、安静時振戦、筋強剛（固縮）、無動・寡動、姿勢反射障害。認知機能障害は進行期に出現するが四大徴候ではない。,振戦は4〜6Hzの安静時振戦で、動作時には軽減する。本態性振戦との鑑別が重要。
Q017,ギラン・バレー症候群の特徴として正しいものはどれか。,上行性の運動麻痺,感覚障害が主体,髄液検査で細胞増多,慢性進行性の経過,ステロイドが第一選択,A,ギラン・バレー症候群は急性の脱髄性多発神経炎で、下肢から上行する弛緩性麻痺が特徴。髄液は蛋白細胞解離を示す。,治療は免疫グロブリン大量療法または血漿交換。ステロイドは無効。呼吸筋麻痺に注意。
Q018,てんかん重積状態の定義はどれか。,5分以上持続する痙攣,10分以上持続する痙攣,20分以上持続する痙攣,30分以上持続する痙攣,1時間以上持続する痙攣,A,てんかん重積状態は、5分以上持続する痙攣、または意識回復のない反復発作と定義される。脳障害リスクがあり緊急対応が必要。,以前は30分が基準だったが、2015年に5分に変更された。早期治療介入が重要。
Q019,心肺停止患者の初期対応で最も優先すべきことはどれか。,気道確保,胸骨圧迫開始,除細動の準備,静脈路確保,薬剤投与,B,BLSでは胸骨圧迫の早期開始が最優先（CABの原則）。質の高い胸骨圧迫（深さ5cm、テンポ100-120回/分）を中断なく行う。,以前はABC（気道、呼吸、循環）だったが、現在はCAB（循環、気道、呼吸）の順。
Q020,アナフィラキシーショックの第一選択薬はどれか。,アドレナリン筋注,ヒドロコルチゾン静注,抗ヒスタミン薬,輸液負荷,ドパミン,A,アナフィラキシーショックの第一選択はアドレナリン0.3mgの筋注（大腿外側が推奨）。必要に応じて5-15分ごとに反復投与。,静注ではなく筋注が基本。ステロイドや抗ヒスタミン薬は補助的治療。エピペンの使用法も重要。
Q021,敗血症性ショックの初期輸液量として適切なものはどれか。,10mL/kg以内,30mL/kg,50mL/kg,70mL/kg,100mL/kg,B,敗血症性ショックでは最初の3時間以内に30mL/kgの晶質液投与が推奨される（Surviving Sepsis Campaign Guidelines）。,過剰輸液は肺水腫のリスクとなる。輸液反応性を評価しながら投与量を調整する。
Q022,急性冠症候群（ACS）の診断に最も有用な心筋マーカーはどれか。,CK,CK-MB,トロポニン,ミオグロビン,LDH,C,トロポニンT/Iは心筋特異性が高く、ACSの診断に最も有用。発症3-4時間後から上昇し、1-2週間持続する。,CK-MBは感度・特異度でトロポニンに劣る。ミオグロビンは早期上昇するが特異性が低い。
Q023,大動脈解離Stanford A型の治療方針として適切なものはどれか。,降圧療法のみ,緊急手術,待機的手術,ステント留置,経過観察,B,Stanford A型（上行大動脈に解離あり）は破裂リスクが高く緊急手術の適応。Stanford B型は原則として内科的治療（降圧）。,A型とB型の違いを明確に理解すること。A型の死亡率は未治療で1時間あたり1-2%上昇する。
Q024,誤嚥性肺炎の起炎菌として最も多いものはどれか。,肺炎球菌,インフルエンザ菌,黄色ブドウ球菌,嫌気性菌,緑膿菌,D,誤嚥性肺炎は口腔内嫌気性菌が主な起炎菌。胸部X線で下葉背側に浸潤影を認めることが多い。,治療はアンピシリン/スルバクタムやクリンダマイシンなど嫌気性菌をカバーする抗菌薬を選択。
