問題ID,問題文,選択肢A,選択肢B,選択肢C,選択肢D,選択肢E,正解,解説,間違えやすいポイント
A_PHYS_001,"質量$m$の物体が高さ$h$から自由落下する。地面に達する直前の速度$v$はどれか。","$v=gh$","$v=\sqrt{gh}$","$v=\sqrt{2gh}$","$v=2gh$","$v=\frac{1}{2}gh$",C,"力学的エネルギー保存則より位置エネルギー$mgh$は運動エネルギー$\frac{1}{2}mv^2$に等しい。これを$v$について解くと$v=\sqrt{2gh}$となる。初速度が0であることが前提条件である。","速度と加速度を混同して$v=gh$と誤答しやすい。運動方程式ではなくエネルギー保存則を用いる点に注意する。"
A_PHYS_002,"質量$m$の物体に力$F$が作用して速度が$v_1$から$v_2$に変化した。この間に力がした仕事はどれか。","$\frac{1}{2}m(v_2-v_1)$","$\frac{1}{2}m(v_2^2-v_1^2)$","$m(v_2^2-v_1^2)$","$F(v_2-v_1)$","$\frac{1}{2}F(v_2^2-v_1^2)$",B,"仕事と運動エネルギーの定理より仕事は運動エネルギーの増加量に等しい。運動エネルギーは$\frac{1}{2}mv^2$であるため仕事は$\frac{1}{2}m(v_2^2-v_1^2)$で表される。","速度差と速度二乗差を取り違えやすい。運動エネルギーの定義式を正確に用いる必要がある。"
A_PHYS_003,"慣性モーメント$I$の剛体が角速度$\omega$で回転しているとき回転の運動エネルギーはどれか。","$I\omega$","$I\omega^2$","$\frac{1}{2}I\omega$","$\frac{1}{2}I\omega^2$","$2I\omega^2$",D,"回転運動の運動エネルギーは並進運動の$\frac{1}{2}mv^2$に対応して$\frac{1}{2}I\omega^2$と表される。慣性モーメントが質量に相当し角速度が速度に相当する。","角速度が二乗される点を忘れやすい。$I\omega^2$と$\frac{1}{2}I\omega^2$を混同しないことが重要である。"
A_PHYS_004,"単振動において変位が振幅の半分のとき速度と最大速度の比はどれか。","$1:1$","$1:\sqrt{2}$","$\sqrt{3}:2$","$1:2$","$1:4$",C,"単振動ではエネルギー保存より$v=\omega\sqrt{A^2-x^2}$で表される。$x=A/2$を代入すると$v=\omega A\sqrt{3}/2$となり最大速度$\omega A$との比は$\sqrt{3}:2$となる。","比例関係で考えてしまい$1:2$などと誤答しやすい。平方根が含まれる式を正確に扱う必要がある。"
A_PHYS_005,"波長$\lambda$で振動数$f$の波が速さ$v$で伝わるとき正しい関係式はどれか。","$v=\lambda/f$","$v=f/\lambda$","$v=\lambda f$","$v=\lambda/2f$","$v=2\lambda f$",C,"波の基本式は波の速さは波長と振動数の積で表され$v=\lambda f$となる。これは音波や水面波などすべての周期波動に共通する関係である。","分数形と混同しやすい。公式を暗記せず意味から理解することが重要である。"
A_PHYS_006,"音源が観測者に近づいてくるとき観測される音の振動数について正しいのはどれか。","低くなる","同じである","高くなる","$\frac{V}{V-v}$倍","$\frac{V-v}{V}$倍",C,"ドップラー効果により音源が接近すると波面間隔が狭くなり観測される振動数は増加する。したがって静止時より高くなる。","式の分母分子を考える前に増加か減少かを判断しないと符号を誤りやすい。"
A_PHYS_007,"完全流体の定常流においてベルヌーイの定理が表す保存則はどれか。","圧力の保存","運動量の保存","エネルギーの保存","質量の保存","角運動量の保存",C,"ベルヌーイの定理は位置エネルギーと運動エネルギーと圧力エネルギーの和が一定であることを示すもので流体のエネルギー保存則を表す。","連続の式と混同して質量保存と誤解しやすい。エネルギーの概念である点に注意する。"
A_PHYS_008,"理想気体の状態方程式$PV=nRT$において$n$が表す量はどれか。","分子数","物質量","質量","体積","密度",B,"$n$はモル数を表し物質量の単位は$\mathrm{mol}$である。分子数とはアボガドロ数を掛けた値であり意味が異なる。","分子数と物質量を同一視しやすい。単位が$\mathrm{mol}$であることを確認する必要がある。"
A_PHYS_009,"理想気体が等温膨張するとき正しいのはどれか。","内部エネルギーは増加する","内部エネルギーは減少する","内部エネルギーは変化しない","外部から仕事をされる","外部に熱を放出する",C,"理想気体の内部エネルギーは温度のみに依存する。等温変化では温度が一定であるため内部エネルギーは変化しない。","膨張すればエネルギーが減ると誤解しやすい。温度一定という条件が重要である。"
A_PHYS_010,"熱力学第二法則として正しい内容はどれか。","エネルギーは保存される","熱は高温物体から低温物体へ自発的に移動する","絶対零度に到達できる","可逆過程ではエントロピーが増大する","孤立系のエントロピーは減少する",B,"第二法則は自然過程では熱は高温側から低温側へ移動することを示す。エントロピー増大の法則と等価な表現である。","第一法則と混同しやすい。エントロピーの符号を誤って解釈しないよう注意する。"
A_PHYS_011,"真空中で点電荷$q$から距離$r$離れた点の電位$V$はどれか。","$\frac{q}{4\pi\varepsilon_0 r}$","$\frac{q}{4\pi\varepsilon_0 r^2}$","$\frac{q}{2\pi\varepsilon_0 r}$","$4\pi\varepsilon_0 r q$","$4\pi\varepsilon_0 r^2 q$",A,"クーロンの法則より電位は距離に反比例し$V=\frac{q}{4\pi\varepsilon_0 r}$で表される。距離の二乗に反比例するのは電場の大きさである。","電場の式と混同して$r^2$で割る形を選びやすい。電位と電場の違いに注意する。"
A_PHYS_012,"コンデンサーに蓄えられる静電エネルギー$U$として正しい式はどれか。","$CV$","$CV^2$","$\frac{1}{2}CV$","$\frac{1}{2}CV^2$","$2CV^2$",D,"コンデンサーのエネルギーは$U=\frac{1}{2}CV^2$で与えられる。電圧の二乗に比例し電気容量にも比例する。","係数$\frac{1}{2}$を忘れる誤りが多い。$CV^2$と混同しないようにする。"
A_PHYS_013,"磁束密度$B$の一様な磁場中を磁場に垂直に速度$v$で運動する電荷$q$に働く力の大きさはどれか。","$qvB$","$qv/B$","$qB/v$","$qv^2B$","$qvB^2$",A,"ローレンツ力の大きさは$qvB$で表される。速度と磁場が垂直である場合にこの式が成り立つ。","角度条件を忘れて余分な因子を入れやすい。基本式を正確に覚える必要がある。"
A_PHYS_014,"電磁誘導の法則として正しい内容はどれか。","磁束の大きさに比例する","磁束の変化率に比例する","磁場の強さに比例する","電流の大きさに比例する","抵抗の大きさに比例する",B,"ファラデーの法則では誘導起電力は磁束の時間変化率に比例する。磁束そのものではなく変化が重要である。","磁束と磁束変化率を混同しやすい。時間変化に注目する必要がある。"
A_PHYS_015,"レンズの焦点距離$f$と物体距離$a$と像距離$b$の関係式として正しいのはどれか。","$\frac{1}{f}=a+b$","$\frac{1}{f}=\frac{1}{a}+\frac{1}{b}$","$f=a+b$","$f=\frac{1}{a}+\frac{1}{b}$","$\frac{1}{f}=ab$",B,"薄レンズの公式は$\frac{1}{f}=\frac{1}{a}+\frac{1}{b}$であり幾何光学の基本式である。","逆数の扱いを誤りやすい。単なる和としないよう注意する。"
A_PHYS_016,"光の屈折におけるスネルの法則として正しいのはどれか。","$n_1\sin\theta_1=n_2\sin\theta_2$","$n_1\cos\theta_1=n_2\cos\theta_2$","$n_1\tan\theta_1=n_2\tan\theta_2$","$\frac{n_1}{n_2}=\frac{\sin\theta_2}{\sin\theta_1}$","$n_1\theta_1=n_2\theta_2$",A,"屈折の法則は屈折率と入射角の正弦が比例し$n_1\sin\theta_1=n_2\sin\theta_2$で表される。","比の向きを逆にしてしまう誤りが多い。正弦を用いる点を確認する。"
A_PHYS_017,"単スリット回折においてスリット幅を小さくすると中央の明線の幅はどうなるか。","広くなる","狭くなる","変わらない","消失する","2倍になる",A,"回折角はスリット幅に反比例するため幅を小さくすると回折が大きくなり中央の明線は広がる。","直感と逆になりやすく狭くなると誤答しやすい。回折条件式を思い出すことが重要である。"
A_PHYS_018,"光電効果において放出される光電子の最大運動エネルギー$K$を表す式として正しいのはどれか。","$K=hf-W$","$K=hf+W$","$K=W-hf$","$K=hf/W$","$K=hfW$",A,"光子エネルギー$hf$から金属の仕事関数$W$を差し引いた残りが電子の運動エネルギーとなる。","符号を逆にして$W-hf$と書きやすい。差の順序に注意する。"
A_PHYS_019,"原子核の質量数$A$と陽子数$Z$が与えられたとき中性子数として正しいのはどれか。","$Z$","$A$","$A-Z$","$A+Z$","$A/Z$",C,"質量数は陽子数と中性子数の和であるため中性子数は$A-Z$で求められる。","$A$と$Z$の意味を混同しやすい。質量数の定義を確認する必要がある。"
A_CHEM_020,"主量子数$n=2$の軌道に収容できる電子の最大数はどれか。","2","6","8","10","18",C,"殻に入る最大電子数は$2n^2$で与えられる。$n=2$を代入すると$2\times4=8$となる。","公式を忘れて2や6と答えやすい。$2n^2$の関係を用いることが重要である。"
A_CHEM_021,"周期表において同一周期で原子番号が増加すると一般に減少する性質はどれか。","原子半径","イオン化エネルギー","電気陰性度","非金属性","酸化力",A,"周期内では有効核電荷が増加し電子雲が引き寄せられるため原子半径は小さくなる。","イオン化エネルギーや電気陰性度と方向を取り違えやすい。"
A_CHEM_022,"共有結合の結合エネルギーが最も大きいのはどれか。","C-C単結合","C=C二重結合","C≡C三重結合","C-H結合","C-O結合",C,"結合次数が大きいほど結合エネルギーは大きくなり三重結合が最も強い。","原子の種類だけで判断して誤ることがある。結合次数に注目する必要がある。"
A_CHEM_023,"25℃で1気圧の純水のpHはどれか。","0","1","7","10","14",C,"純水は自己解離により水素イオン濃度と水酸化物イオン濃度が等しくなりpHは7の中性となる。","蒸留水でも酸性や塩基性と誤解しやすい。中性の基準を確認する。"
