question_id,question,option_a,option_b,option_c,option_d,option_e,correct_option,explanation,pitfall
PHY_001,固定軸のまわりを慣性モーメント $I$ の剛体が角速度 $\omega$ で回転している。この剛体に外部からトルク（力のモーメント）$N$ が作用したとき、回転運動方程式として正しい記述はどれか。,N = I \omega,N = \frac{d(I\omega)}{dt},N = \frac{1}{2}I\omega^2,N = I \frac{d\omega}{dx},N = \int I \omega dt,b,回転運動方程式は、トルク $N$ が角運動量 $L=I\omega$ の時間変化率に等しいと記述される。すなわち $N = \frac{dL}{dt} = \frac{d(I\omega)}{dt} = I \frac{d\omega}{dt}$ である。,運動エネルギーの式 $\frac{1}{2}I\omega^2$ や、単純な積 $I\omega$（角運動量）と混同しないこと。
PHY_002,質量 $m$ の質点が原点からの距離 $r$ の位置にあり、速度 $v$ で運動している。原点まわりの角運動量ベクトル $\boldsymbol{L}$ を表す式はどれか。ただし、位置ベクトルを $\boldsymbol{r}$、運動量ベクトルを $\boldsymbol{p}$ とする。,L = \boldsymbol{r} \cdot \boldsymbol{p},L = \boldsymbol{p} \times \boldsymbol{r},L = \boldsymbol{r} \times \boldsymbol{p},L = m(\boldsymbol{r} \cdot \boldsymbol{v}),L = \frac{1}{2}m v^2,c,角運動量は位置ベクトル $\boldsymbol{r}$ と運動量ベクトル $\boldsymbol{p} (= m\boldsymbol{v})$ の外積で定義される。順序は $\boldsymbol{r} \times \boldsymbol{p}$ が正しい。,外積（クロス積）であり、内積（ドット積）ではない。またベクトルの掛け合わせる順序（$\boldsymbol{r}$ が先）が逆になると符号が変わるため注意が必要である。
PHY_003,理想流体が水平な管内を定常流として流れている。断面積が狭い部分における流体の性質について、ベルヌーイの定理に基づき正しいのはどれか。,流速は速くなり、静圧は下がる。,流速は速くなり、静圧は上がる。,流速は遅くなり、静圧は下がる。,流速は遅くなり、静圧は上がる。,流速も静圧も変化しない。,a,連続の式より断面積が狭くなると流速は速くなる。ベルヌーイの定理 $P + \frac{1}{2}\rho v^2 = \text{一定}$ より、流速 $v$ が増加すると静圧 $P$ は減少する。,「狭いところは圧力が高い」という直感的な誤解（ホースの口を絞る感覚など）に陥りやすいが、物理学的な静圧は低下する。
PHY_004,マクスウェル方程式の一つであるアンペールの法則（マクスウェル-アンペールの法則）の積分形として正しいのはどれか。記号は一般的な定義に従う。,\oint_{C} \boldsymbol{E} \cdot d\boldsymbol{l} = -\frac{d}{dt} \int_{S} \boldsymbol{B} \cdot d\boldsymbol{S},\oint_{C} \boldsymbol{H} \cdot d\boldsymbol{l} = \int_{S} (\boldsymbol{i} + \frac{\partial \boldsymbol{D}}{\partial t}) \cdot d\boldsymbol{S},\int_{S} \boldsymbol{D} \cdot d\boldsymbol{S} = Q,\int_{S} \boldsymbol{B} \cdot d\boldsymbol{S} = 0,\boldsymbol{F} = q(\boldsymbol{E} + \boldsymbol{v} \times \boldsymbol{B}),b,アンペールの法則は、磁場 $\boldsymbol{H}$ の線積分が、伝導電流 $\boldsymbol{i}$ と変位電流 $\frac{\partial \boldsymbol{D}}{\partial t}$ の面積分（総和）に等しいことを示す。,ファラデーの電磁誘導の法則（a）やガウスの法則（c, d）と式形を混同しやすい。変位電流項が含まれているか確認すること。
PHY_005,静電場において、電荷 $q$、電場 $\boldsymbol{E}$、電位 $\phi$ の関係について正しい記述はどれか。,$\boldsymbol{E} = -\nabla \phi$,$\boldsymbol{E} = \nabla \phi$,$\phi = -\nabla \cdot \boldsymbol{E}$,$\phi = \nabla \times \boldsymbol{E}$,$\boldsymbol{E} = \frac{\partial \phi}{\partial t}$,a,静電場において電場 $\boldsymbol{E}$ は電位 $\phi$ の勾配（gradient）の負として表される。$\boldsymbol{E} = -\operatorname{grad} \phi = -\nabla \phi$ である。,符号のマイナスを忘れないこと。電場は電位が高い方から低い方へ向かうためマイナスがつく。
PHY_006,磁束密度 $\boldsymbol{B}$ 中を速度 $\boldsymbol{v}$ で運動する電荷 $q$ が受けるローレンツ力 $\boldsymbol{F}$ の磁気成分を表す式はどれか。,$\boldsymbol{F} = q(\boldsymbol{v} \cdot \boldsymbol{B})$,$\boldsymbol{F} = q(\boldsymbol{B} \times \boldsymbol{v})$,$\boldsymbol{F} = q(\boldsymbol{v} \times \boldsymbol{B})$,$\boldsymbol{F} = q \boldsymbol{v} / \boldsymbol{B}$,$\boldsymbol{F} = q \boldsymbol{B} v$,c,ローレンツ力は $\boldsymbol{F} = q(\boldsymbol{E} + \boldsymbol{v} \times \boldsymbol{B})$ で表される。磁場による力は $q(\boldsymbol{v} \times \boldsymbol{B})$ である。,外積の順序 $\boldsymbol{v} \times \boldsymbol{B}$ が重要である。$\boldsymbol{B} \times \boldsymbol{v}$ では力の向きが逆になる。
PHY_007,音源が静止している観測者に近づくとき、観測者が聞く音について正しい記述はどれか（ドップラー効果）。,波長が長くなり、振動数が減少して聞こえる。,波長が短くなり、振動数が増加して聞こえる。,波長は変わらず、振動数が増加して聞こえる。,波長が短くなり、音速が速くなる。,波長が長くなり、音速が遅くなる。,b,音源が近づく場合、前方の波が圧縮されるため波長は短くなる。音速は媒質に依存するため一定であり、結果として $f = v/\lambda$ より振動数は増加し、音が高く聞こえる。,「音速が変わる」という選択肢は誤り。音速は気温などの媒質条件が変わらない限り一定である。
PHY_008,放射性崩壊において、原子核からヘリウム原子核が放出される現象はどれか。,アルファ崩壊,ベータ（マイナス）崩壊,ベータ（プラス）崩壊,ガンマ崩壊,電子捕獲,a,アルファ崩壊は、原子核からアルファ粒子（ヘリウム4の原子核）を放出し、原子番号が2、質量数が4減少する反応である。,ベータ崩壊は電子または陽電子の放出であり、ガンマ崩壊は電磁波の放出である。粒子の実体（ヘリウム核）を把握すること。
PHY_009,1.02 MeV 以上のエネルギーを持つ光子が原子核近傍を通過する際、電子と陽電子が生成される現象はどれか。,光電効果,コンプトン散乱,対生成,対消滅,弾性散乱,c,光子のエネルギーが電子2個分の静止質量エネルギー（約0.511 MeV × 2 = 1.022 MeV）を超える場合、物質との相互作用で電子対（電子と陽電子）を生成することがある。これを対生成と呼ぶ。,対消滅は逆の反応（電子と陽電子が反応して光子になる）である。エネルギーの閾値（1.02 MeV）が判断の鍵となる。
PHY_010,コンプトン散乱について正しい記述はどれか。,入射光子より散乱光子の波長は短い。,入射光子より散乱光子のエネルギーは大きい。,散乱光子の波長変化量は散乱角に依存しない。,散乱光子の波長は入射光子の波長より長くなる。,光子が軌道電子に全エネルギーを与えて消失する。,d,コンプトン散乱では、光子が電子と衝突してエネルギーの一部を与えるため、散乱後の光子のエネルギーは低下する。エネルギー $E = hc/\lambda$ より、エネルギーが低下すると波長は長くなる。,光電効果（全エネルギーを与える）との混同に注意。コンプトン散乱では光子は消失せず、散乱される。
